id,wkt
gh329,SRID=4326;POINT(-0.1824258 11.1049839)
gh330,SRID=4326;POINT(-0.1782591 11.1049839)
gh331,SRID=4326;POINT(-0.1740925 11.1049839)
gh332,SRID=4326;POINT(-0.1699258 11.1049839)
gh333,SRID=4326;POINT(-0.1657591 11.1049839)
gh334,SRID=4326;POINT(-0.1574258 11.1049839)
gh335,SRID=4326;POINT(-0.1532591 11.1049839)
gh336,SRID=4326;POINT(-0.1490925 11.1049839)
gh337,SRID=4326;POINT(-0.0365925 11.1049839)
gh338,SRID=4326;POINT(-0.0324258 11.1049839)
gh339,SRID=4326;POINT(-0.0282591 11.1049839)
gh340,SRID=4326;POINT(-0.0115925 11.1049839)
gh341,SRID=4326;POINT(-0.0074258 11.1049839)
gh342,SRID=4326;POINT(-0.0032591 11.1049839)
gh343,SRID=4326;POINT(0.0009075 11.1049839)
gh344,SRID=4326;POINT(0.0050742 11.1049839)
gh345,SRID=4326;POINT(-0.4115925 11.1008172)
gh346,SRID=4326;POINT(-0.4074258 11.1008172)
gh347,SRID=4326;POINT(-0.4032591 11.1008172)
gh348,SRID=4326;POINT(-0.3990925 11.1008172)
gh349,SRID=4326;POINT(-0.3949258 11.1008172)
gh350,SRID=4326;POINT(-0.3907591 11.1008172)
gh351,SRID=4326;POINT(-0.3865925 11.1008172)
gh352,SRID=4326;POINT(-0.3824258 11.1008172)
gh353,SRID=4326;POINT(-0.3282591 11.1008172)
gh354,SRID=4326;POINT(-0.3240925 11.1008172)
gh355,SRID=4326;POINT(-0.2782591 11.1008172)
gh356,SRID=4326;POINT(-0.2699258 11.1008172)
gh357,SRID=4326;POINT(-0.2657591 11.1008172)
gh358,SRID=4326;POINT(-0.2615925 11.1008172)
gh359,SRID=4326;POINT(-0.2574258 11.1008172)
gh360,SRID=4326;POINT(-0.2532591 11.1008172)
gh361,SRID=4326;POINT(-0.2490925 11.1008172)
gh362,SRID=4326;POINT(-0.2449258 11.1008172)
gh363,SRID=4326;POINT(-0.2324258 11.1008172)
gh364,SRID=4326;POINT(-0.2282591 11.1008172)
gh365,SRID=4326;POINT(-0.2240925 11.1008172)
gh366,SRID=4326;POINT(-0.2199258 11.1008172)
gh367,SRID=4326;POINT(-0.2157591 11.1008172)
gh368,SRID=4326;POINT(-0.2115925 11.1008172)
gh369,SRID=4326;POINT(-0.2032591 11.1008172)
gh370,SRID=4326;POINT(-0.1865925 11.1008172)
gh371,SRID=4326;POINT(-0.1824258 11.1008172)
gh372,SRID=4326;POINT(-0.1782591 11.1008172)
gh373,SRID=4326;POINT(-0.1740925 11.1008172)
gh374,SRID=4326;POINT(-0.1699258 11.1008172)
gh375,SRID=4326;POINT(-0.1657591 11.1008172)
gh376,SRID=4326;POINT(-0.1615925 11.1008172)
gh377,SRID=4326;POINT(-0.1407591 11.1008172)
gh378,SRID=4326;POINT(-0.1365925 11.1008172)
gh379,SRID=4326;POINT(-0.1324258 11.1008172)
gh380,SRID=4326;POINT(-0.1282591 11.1008172)
gh381,SRID=4326;POINT(-0.0490925 11.1008172)
gh382,SRID=4326;POINT(-0.0407591 11.1008172)
gh383,SRID=4326;POINT(-0.0365925 11.1008172)
gh384,SRID=4326;POINT(-0.0324258 11.1008172)
gh385,SRID=4326;POINT(-0.0282591 11.1008172)
gh386,SRID=4326;POINT(-0.0074258 11.1008172)
gh387,SRID=4326;POINT(-0.0032591 11.1008172)
